date,product,quantity,revenue,cost,category,customer_segment
2025-07-01,HDMI Cable,1,15.99,4.0,Accessories,Consumer
2025-07-01,Ergonomic Keyboard,1,89.99,45.0,Office,Business
2025-07-01,Laptop Stand,1,49.99,20.0,Office,Consumer
2025-07-01,Laptop Stand,1,49.99,20.0,Office,Consumer
2025-07-01,USB-C Cable,1,12.99,3.5,Accessories,Consumer
2025-07-01,Wireless Headphones,1,79.99,40.0,Electronics,Consumer
2025-07-01,Wireless Headphones,5,399.95,200.0,Electronics,Education
2025-07-01,Webcam HD,2,139.98,70.0,Electronics,Consumer
2025-07-01,USB-C Cable,1,12.99,3.5,Accessories,Education
2025-07-01,Webcam HD,2,139.98,70.0,Electronics,Consumer
2025-07-01,USB-C Cable,1,12.99,3.5,Accessories,Consumer
2025-07-01,Laptop Stand,1,49.99,20.0,Office,Consumer
2025-07-01,Wireless Headphones,1,79.99,40.0,Electronics,Consumer
2025-07-01,Desk Organizer,1,24.99,10.0,Office,Business
2025-07-01,Ergonomic Keyboard,1,89.99,45.0,Office,Business
2025-07-02,Phone Case,1,19.99,5.0,Accessories,Business
2025-07-02,Portable Charger,2,79.98,36.0,Electronics,Business
2025-07-02,Wireless Headphones,6,479.94,240.0,Electronics,Business
2025-07-02,Laptop Stand,1,49.99,20.0,Office,Consumer
2025-07-02,Wireless Headphones,1,79.99,40.0,Electronics,Consumer
2025-07-02,Ergonomic Keyboard,1,89.99,45.0,Office,Consumer
2025-07-02,Wireless Headphones,1,79.99,40.0,Electronics,Consumer
2025-07-02,Wireless Headphones,1,79.99,40.0,Electronics,Consumer
2025-07-02,Phone Case,1,19.99,5.0,Accessories,Consumer
2025-07-02,Portable Charger,1,39.99,18.0,Electronics,Business
2025-07-02,Webcam HD,2,139.98,70.0,Electronics,Education
2025-07-02,HDMI Cable,1,15.99,4.0,Accessories,Consumer
2025-07-02,Ergonomic Keyboard,1,89.99,45.0,Office,Education
2025-07-02,USB-C Cable,1,12.99,3.5,Accessories,Business
2025-07-03,Phone Case,1,19.99,5.0,Accessories,Consumer
2025-07-03,Wireless Headphones,1,79.99,40.0,Electronics,Business
2025-07-03,USB-C Cable,2,25.98,7.0,Accessories,Consumer
2025-07-03,USB-C Cable,1,12.99,3.5,Accessories,Consumer
2025-07-03,USB-C Cable,3,38.97,10.5,Accessories,Education
2025-07-03,Desk Organizer,2,49.98,20.0,Office,Business
2025-07-03,Wireless Headphones,2,159.98,80.0,Electronics,Business
2025-07-03,Phone Case,1,19.99,5.0,Accessories,Consumer
2025-07-03,USB-C Cable,1,12.99,3.5,Accessories,Business
2025-07-03,Phone Case,2,39.98,10.0,Accessories,Consumer
2025-07-03,HDMI Cable,2,31.98,8.0,Accessories,Consumer
2025-07-03,HDMI Cable,2,31.98,8.0,Accessories,Consumer
2025-07-03,Wireless Headphones,1,79.99,40.0,Electronics,Consumer
2025-07-03,Laptop Stand,1,49.99,20.0,Office,Education
2025-07-03,Wireless Headphones,1,79.99,40.0,Electronics,Education
2025-07-04,Webcam HD,4,279.96,140.0,Electronics,Business
2025-07-04,Phone Case,2,39.98,10.0,Accessories,Consumer
2025-07-04,HDMI Cable,1,15.99,4.0,Accessories,Business
2025-07-04,USB-C Cable,1,12.99,3.5,Accessories,Consumer
2025-07-04,Bluetooth Mouse,1,34.99,15.0,Electronics,Consumer
2025-07-04,Desk Organizer,1,24.99,10.0,Office,Consumer
2025-07-04,Webcam HD,1,69.99,35.0,Electronics,Business
2025-07-04,Wireless Headphones,1,79.99,40.0,Electronics,Education
2025-07-04,Laptop Stand,1,49.99,20.0,Office,Consumer
2025-07-04,Phone Case,1,19.99,5.0,Accessories,Business
2025-07-04,USB-C Cable,1,12.99,3.5,Accessories,Consumer
2025-07-04,Wireless Headphones,1,79.99,40.0,Electronics,Consumer
2025-07-04,Laptop Stand,1,49.99,20.0,Office,Business
2025-07-04,Phone Case,1,19.99,5.0,Accessories,Business
2025-07-05,Portable Charger,1,39.99,18.0,Electronics,Business
2025-07-05,Desk Organizer,2,49.98,20.0,Office,Business
2025-07-05,Desk Organizer,1,24.99,10.0,Office,Consumer
2025-07-05,Portable Charger,2,79.98,36.0,Electronics,Consumer
2025-07-05,Ergonomic Keyboard,2,179.98,90.0,Office,Business
2025-07-05,Phone Case,1,19.99,5.0,Accessories,Consumer
2025-07-05,USB-C Cable,1,12.99,3.5,Accessories,Business
2025-07-05,Wireless Headphones,1,79.99,40.0,Electronics,Consumer
2025-07-05,Phone Case,1,19.99,5.0,Accessories,Consumer
2025-07-05,Ergonomic Keyboard,3,269.97,135.0,Office,Business
2025-07-05,USB-C Cable,1,12.99,3.5,Accessories,Business
2025-07-05,Wireless Headphones,1,79.99,40.0,Electronics,Consumer
2025-07-05,Bluetooth Mouse,2,69.98,30.0,Electronics,Business
2025-07-05,Ergonomic Keyboard,2,179.98,90.0,Office,Consumer
2025-07-05,USB-C Cable,1,12.99,3.5,Accessories,Education
2025-07-05,HDMI Cable,1,15.99,4.0,Accessories,Consumer
2025-07-05,Ergonomic Keyboard,1,89.99,45.0,Office,Consumer
2025-07-05,Laptop Stand,1,49.99,20.0,Office,Business
2025-07-06,Phone Case,1,19.99,5.0,Accessories,Business
2025-07-06,Ergonomic Keyboard,1,89.99,45.0,Office,Consumer
2025-07-06,Phone Case,3,59.97,15.0,Accessories,Business
2025-07-06,HDMI Cable,2,31.98,8.0,Accessories,Business
2025-07-06,Ergonomic Keyboard,2,179.98,90.0,Office,Business
2025-07-06,Ergonomic Keyboard,1,89.99,45.0,Office,Consumer
2025-07-06,Wireless Headphones,1,79.99,40.0,Electronics,Consumer
2025-07-06,Ergonomic Keyboard,1,89.99,45.0,Office,Consumer
2025-07-06,Webcam HD,4,279.96,140.0,Electronics,Education
2025-07-06,HDMI Cable,1,15.99,4.0,Accessories,Business
2025-07-06,Webcam HD,1,69.99,35.0,Electronics,Consumer
2025-07-06,USB-C Cable,2,25.98,7.0,Accessories,Consumer
2025-07-06,Bluetooth Mouse,5,174.95,75.0,Electronics,Education
2025-07-06,Bluetooth Mouse,1,34.99,15.0,Electronics,Education
2025-07-06,Portable Charger,1,39.99,18.0,Electronics,Consumer
2025-07-07,Laptop Stand,2,99.98,40.0,Office,Consumer
2025-07-07,Ergonomic Keyboard,1,89.99,45.0,Office,Consumer
2025-07-07,Bluetooth Mouse,1,34.99,15.0,Electronics,Consumer
2025-07-07,Portable Charger,1,39.99,18.0,Electronics,Business
2025-07-07,Phone Case,1,19.99,5.0,Accessories,Business
2025-07-07,Webcam HD,2,139.98,70.0,Electronics,Business
2025-07-07,Desk Organizer,1,24.99,10.0,Office,Consumer
2025-07-07,Bluetooth Mouse,1,34.99,15.0,Electronics,Consumer
2025-07-07,Wireless Headphones,1,79.99,40.0,Electronics,Consumer
2025-07-07,Phone Case,2,39.98,10.0,Accessories,Consumer
2025-07-07,Desk Organizer,1,24.99,10.0,Office,Consumer
2025-07-07,USB-C Cable,1,12.99,3.5,Accessories,Business
2025-07-07,Bluetooth Mouse,1,34.99,15.0,Electronics,Consumer
2025-07-07,HDMI Cable,1,15.99,4.0,Accessories,Consumer
2025-07-07,Portable Charger,5,199.95,90.0,Electronics,Business
2025-07-07,Portable Charger,1,39.99,18.0,Electronics,Education
2025-07-08,Wireless Headphones,1,79.99,40.0,Electronics,Education
2025-07-08,Phone Case,2,39.98,10.0,Accessories,Business
2025-07-08,Wireless Headphones,1,79.99,40.0,Electronics,Business
2025-07-08,Bluetooth Mouse,1,34.99,15.0,Electronics,Consumer
2025-07-08,Bluetooth Mouse,4,139.96,60.0,Electronics,Education
2025-07-08,Wireless Headphones,2,159.98,80.0,Electronics,Business
2025-07-08,Bluetooth Mouse,1,34.99,15.0,Electronics,Education
2025-07-08,Wireless Headphones,1,79.99,40.0,Electronics,Consumer
2025-07-08,Bluetooth Mouse,1,34.99,15.0,Electronics,Business
2025-07-08,USB-C Cable,1,12.99,3.5,Accessories,Consumer
2025-07-08,USB-C Cable,1,12.99,3.5,Accessories,Business
2025-07-08,Phone Case,1,19.99,5.0,Accessories,Business
2025-07-08,USB-C Cable,1,12.99,3.5,Accessories,Business
2025-07-08,Wireless Headphones,1,79.99,40.0,Electronics,Business
2025-07-08,Bluetooth Mouse,1,34.99,15.0,Electronics,Consumer
2025-07-09,HDMI Cable,1,15.99,4.0,Accessories,Consumer
2025-07-09,Ergonomic Keyboard,1,89.99,45.0,Office,Business
2025-07-09,Webcam HD,4,279.96,140.0,Electronics,Business
2025-07-09,USB-C Cable,2,25.98,7.0,Accessories,Business
2025-07-09,Ergonomic Keyboard,1,89.99,45.0,Office,Consumer
2025-07-09,Portable Charger,1,39.99,18.0,Electronics,Business
2025-07-09,Phone Case,2,39.98,10.0,Accessories,Consumer
2025-07-09,Portable Charger,1,39.99,18.0,Electronics,Education
2025-07-09,Webcam HD,1,69.99,35.0,Electronics,Consumer
2025-07-09,Portable Charger,2,79.98,36.0,Electronics,Consumer
2025-07-09,HDMI Cable,1,15.99,4.0,Accessories,Education
2025-07-09,Ergonomic Keyboard,1,89.99,45.0,Office,Consumer
2025-07-09,Laptop Stand,2,99.98,40.0,Office,Consumer
2025-07-10,Bluetooth Mouse,1,34.99,15.0,Electronics,Business
2025-07-10,Bluetooth Mouse,1,34.99,15.0,Electronics,Business
2025-07-10,Webcam HD,6,419.94,210.0,Electronics,Business
2025-07-10,Wireless Headphones,1,79.99,40.0,Electronics,Business
2025-07-10,Bluetooth Mouse,1,34.99,15.0,Electronics,Consumer
2025-07-10,Portable Charger,2,79.98,36.0,Electronics,Business
2025-07-10,Phone Case,1,19.99,5.0,Accessories,Education
2025-07-10,Wireless Headphones,1,79.99,40.0,Electronics,Consumer
2025-07-10,HDMI Cable,1,15.99,4.0,Accessories,Consumer
2025-07-10,Ergonomic Keyboard,1,89.99,45.0,Office,Consumer
2025-07-10,Wireless Headphones,2,159.98,80.0,Electronics,Business
2025-07-10,Bluetooth Mouse,1,34.99,15.0,Electronics,Consumer
2025-07-10,Wireless Headphones,1,79.99,40.0,Electronics,Consumer
2025-07-10,Wireless Headphones,1,79.99,40.0,Electronics,Education
2025-07-10,Wireless Headphones,2,159.98,80.0,Electronics,Business
2025-07-10,Wireless Headphones,1,79.99,40.0,Electronics,Business
2025-07-11,Webcam HD,2,139.98,70.0,Electronics,Consumer
2025-07-11,Bluetooth Mouse,1,34.99,15.0,Electronics,Consumer
2025-07-11,Desk Organizer,1,24.99,10.0,Office,Consumer
2025-07-11,Wireless Headphones,5,399.95,200.0,Electronics,Education
2025-07-11,Ergonomic Keyboard,1,89.99,45.0,Office,Education
2025-07-11,Bluetooth Mouse,1,34.99,15.0,Electronics,Consumer
2025-07-11,Ergonomic Keyboard,2,179.98,90.0,Office,Education
2025-07-11,Phone Case,1,19.99,5.0,Accessories,Business
2025-07-11,Wireless Headphones,5,399.95,200.0,Electronics,Consumer
2025-07-11,Ergonomic Keyboard,1,89.99,45.0,Office,Education
2025-07-11,Portable Charger,1,39.99,18.0,Electronics,Consumer
2025-07-11,Webcam HD,1,69.99,35.0,Electronics,Consumer
2025-07-11,Ergonomic Keyboard,1,89.99,45.0,Office,Consumer
2025-07-11,HDMI Cable,1,15.99,4.0,Accessories,Consumer
2025-07-11,Wireless Headphones,1,79.99,40.0,Electronics,Education
2025-07-12,USB-C Cable,1,12.99,3.5,Accessories,Consumer
2025-07-12,Phone Case,1,19.99,5.0,Accessories,Business
2025-07-12,Webcam HD,2,139.98,70.0,Electronics,Business
2025-07-12,HDMI Cable,1,15.99,4.0,Accessories,Business
2025-07-12,Wireless Headphones,1,79.99,40.0,Electronics,Consumer
2025-07-12,HDMI Cable,4,63.96,16.0,Accessories,Education
2025-07-12,Wireless Headphones,2,159.98,80.0,Electronics,Business
2025-07-12,Bluetooth Mouse,1,34.99,15.0,Electronics,Consumer
2025-07-12,Webcam HD,1,69.99,35.0,Electronics,Consumer
2025-07-12,USB-C Cable,1,12.99,3.5,Accessories,Consumer
2025-07-12,Bluetooth Mouse,2,69.98,30.0,Electronics,Education
2025-07-12,Desk Organizer,1,24.99,10.0,Office,Education
2025-07-12,Portable Charger,1,39.99,18.0,Electronics,Consumer
2025-07-12,Webcam HD,8,559.92,280.0,Electronics,Business
2025-07-12,Bluetooth Mouse,1,34.99,15.0,Electronics,Consumer
2025-07-12,Ergonomic Keyboard,1,89.99,45.0,Office,Consumer
2025-07-13,Bluetooth Mouse,1,34.99,15.0,Electronics,Consumer
2025-07-13,USB-C Cable,1,12.99,3.5,Accessories,Business
2025-07-13,Laptop Stand,1,49.99,20.0,Office,Consumer
2025-07-13,Laptop Stand,1,49.99,20.0,Office,Consumer
2025-07-13,Desk Organizer,1,24.99,10.0,Office,Consumer
2025-07-13,Ergonomic Keyboard,4,359.96,180.0,Office,Consumer
2025-07-13,Wireless Headphones,1,79.99,40.0,Electronics,Consumer
2025-07-13,USB-C Cable,1,12.99,3.5,Accessories,Consumer
2025-07-13,Ergonomic Keyboard,1,89.99,45.0,Office,Consumer
2025-07-13,USB-C Cable,1,12.99,3.5,Accessories,Business
2025-07-13,HDMI Cable,1,15.99,4.0,Accessories,Business
2025-07-13,Ergonomic Keyboard,1,89.99,45.0,Office,Consumer
2025-07-13,Bluetooth Mouse,6,209.94,90.0,Electronics,Business
2025-07-13,Wireless Headphones,1,79.99,40.0,Electronics,Consumer
2025-07-13,Wireless Headphones,1,79.99,40.0,Electronics,Consumer
2025-07-13,Desk Organizer,2,49.98,20.0,Office,Consumer
2025-07-14,Laptop Stand,2,99.98,40.0,Office,Business
2025-07-14,Bluetooth Mouse,2,69.98,30.0,Electronics,Consumer
2025-07-14,HDMI Cable,1,15.99,4.0,Accessories,Consumer
2025-07-14,USB-C Cable,2,25.98,7.0,Accessories,Business
2025-07-14,Laptop Stand,1,49.99,20.0,Office,Consumer
2025-07-14,Wireless Headphones,2,159.98,80.0,Electronics,Consumer
2025-07-14,USB-C Cable,1,12.99,3.5,Accessories,Consumer
2025-07-14,Phone Case,1,19.99,5.0,Accessories,Consumer
2025-07-14,Portable Charger,2,79.98,36.0,Electronics,Consumer
2025-07-14,Ergonomic Keyboard,3,269.97,135.0,Office,Consumer
2025-07-14,Wireless Headphones,1,79.99,40.0,Electronics,Consumer
2025-07-14,Phone Case,1,19.99,5.0,Accessories,Consumer
2025-07-14,USB-C Cable,1,12.99,3.5,Accessories,Consumer
2025-07-14,Bluetooth Mouse,1,34.99,15.0,Electronics,Consumer
2025-07-14,Bluetooth Mouse,1,34.99,15.0,Electronics,Consumer
2025-07-15,Laptop Stand,1,49.99,20.0,Office,Business
2025-07-15,USB-C Cable,1,12.99,3.5,Accessories,Business
2025-07-15,Webcam HD,1,69.99,35.0,Electronics,Consumer
2025-07-15,Laptop Stand,1,49.99,20.0,Office,Consumer
2025-07-15,USB-C Cable,1,12.99,3.5,Accessories,Business
2025-07-15,USB-C Cable,1,12.99,3.5,Accessories,Consumer
2025-07-15,Laptop Stand,2,99.98,40.0,Office,Consumer
2025-07-15,Webcam HD,2,139.98,70.0,Electronics,Business
2025-07-15,USB-C Cable,1,12.99,3.5,Accessories,Consumer
2025-07-15,Laptop Stand,6,299.94,120.0,Office,Business
2025-07-15,Bluetooth Mouse,1,34.99,15.0,Electronics,Consumer
2025-07-15,Laptop Stand,1,49.99,20.0,Office,Consumer
2025-07-15,Wireless Headphones,1,79.99,40.0,Electronics,Consumer
2025-07-15,Laptop Stand,1,49.99,20.0,Office,Consumer
2025-07-15,Ergonomic Keyboard,1,89.99,45.0,Office,Consumer
2025-07-15,Bluetooth Mouse,1,34.99,15.0,Electronics,Consumer
2025-07-16,USB-C Cable,1,12.99,3.5,Accessories,Business
2025-07-16,Ergonomic Keyboard,2,179.98,90.0,Office,Education
2025-07-16,HDMI Cable,1,15.99,4.0,Accessories,Consumer
2025-07-16,Wireless Headphones,2,159.98,80.0,Electronics,Education
2025-07-16,Bluetooth Mouse,2,69.98,30.0,Electronics,Consumer
2025-07-16,Wireless Headphones,1,79.99,40.0,Electronics,Education
2025-07-16,Portable Charger,1,39.99,18.0,Electronics,Consumer
2025-07-16,Bluetooth Mouse,1,34.99,15.0,Electronics,Consumer
2025-07-16,Bluetooth Mouse,1,34.99,15.0,Electronics,Consumer
2025-07-16,USB-C Cable,2,25.98,7.0,Accessories,Business
2025-07-16,Portable Charger,2,79.98,36.0,Electronics,Consumer
2025-07-16,Laptop Stand,2,99.98,40.0,Office,Consumer
2025-07-16,Phone Case,2,39.98,10.0,Accessories,Consumer
2025-07-16,Phone Case,1,19.99,5.0,Accessories,Business
2025-07-17,Wireless Headphones,2,159.98,80.0,Electronics,Consumer
2025-07-17,USB-C Cable,2,25.98,7.0,Accessories,Business
2025-07-17,HDMI Cable,1,15.99,4.0,Accessories,Consumer
2025-07-17,Wireless Headphones,2,159.98,80.0,Electronics,Education
2025-07-17,USB-C Cable,1,12.99,3.5,Accessories,Consumer
2025-07-17,Desk Organizer,1,24.99,10.0,Office,Consumer
2025-07-17,Ergonomic Keyboard,1,89.99,45.0,Office,Business
2025-07-17,Bluetooth Mouse,1,34.99,15.0,Electronics,Education
2025-07-17,Desk Organizer,1,24.99,10.0,Office,Business
2025-07-17,Desk Organizer,1,24.99,10.0,Office,Education
2025-07-17,Desk Organizer,1,24.99,10.0,Office,Consumer
2025-07-17,Wireless Headphones,1,79.99,40.0,Electronics,Business
2025-07-17,Ergonomic Keyboard,1,89.99,45.0,Office,Consumer
2025-07-17,Ergonomic Keyboard,2,179.98,90.0,Office,Consumer
2025-07-17,Bluetooth Mouse,4,139.96,60.0,Electronics,Consumer
2025-07-17,Bluetooth Mouse,2,69.98,30.0,Electronics,Consumer
2025-07-17,Laptop Stand,1,49.99,20.0,Office,Business
2025-07-18,Laptop Stand,1,49.99,20.0,Office,Business
2025-07-18,Laptop Stand,2,99.98,40.0,Office,Consumer
2025-07-18,Webcam HD,2,139.98,70.0,Electronics,Consumer
2025-07-18,Ergonomic Keyboard,2,179.98,90.0,Office,Consumer
2025-07-18,Portable Charger,1,39.99,18.0,Electronics,Consumer
2025-07-18,Portable Charger,3,119.97,54.0,Electronics,Business
2025-07-18,Bluetooth Mouse,1,34.99,15.0,Electronics,Education
2025-07-18,Ergonomic Keyboard,1,89.99,45.0,Office,Consumer
2025-07-18,Bluetooth Mouse,2,69.98,30.0,Electronics,Education
2025-07-18,USB-C Cable,1,12.99,3.5,Accessories,Business
2025-07-18,Laptop Stand,1,49.99,20.0,Office,Consumer
2025-07-18,Ergonomic Keyboard,1,89.99,45.0,Office,Consumer
2025-07-18,Wireless Headphones,1,79.99,40.0,Electronics,Consumer
2025-07-18,Desk Organizer,1,24.99,10.0,Office,Consumer
2025-07-18,Bluetooth Mouse,1,34.99,15.0,Electronics,Consumer
2025-07-19,Wireless Headphones,2,159.98,80.0,Electronics,Consumer
2025-07-19,Laptop Stand,1,49.99,20.0,Office,Consumer
2025-07-19,Wireless Headphones,1,79.99,40.0,Electronics,Business
2025-07-19,USB-C Cable,2,25.98,7.0,Accessories,Business
2025-07-19,Wireless Headphones,1,79.99,40.0,Electronics,Consumer
2025-07-19,Portable Charger,1,39.99,18.0,Electronics,Consumer
2025-07-19,Wireless Headphones,2,159.98,80.0,Electronics,Consumer
2025-07-19,Wireless Headphones,1,79.99,40.0,Electronics,Consumer
2025-07-19,USB-C Cable,1,12.99,3.5,Accessories,Business
2025-07-19,Phone Case,1,19.99,5.0,Accessories,Consumer
2025-07-19,Wireless Headphones,2,159.98,80.0,Electronics,Consumer
2025-07-19,USB-C Cable,1,12.99,3.5,Accessories,Consumer
2025-07-19,Ergonomic Keyboard,1,89.99,45.0,Office,Consumer
2025-07-19,Webcam HD,1,69.99,35.0,Electronics,Consumer
2025-07-19,HDMI Cable,1,15.99,4.0,Accessories,Business
2025-07-19,Portable Charger,1,39.99,18.0,Electronics,Consumer
2025-07-19,Phone Case,1,19.99,5.0,Accessories,Consumer
2025-07-19,Ergonomic Keyboard,4,359.96,180.0,Office,Business
2025-07-20,USB-C Cable,1,12.99,3.5,Accessories,Consumer
2025-07-20,USB-C Cable,1,12.99,3.5,Accessories,Business
2025-07-20,HDMI Cable,1,15.99,4.0,Accessories,Consumer
2025-07-20,USB-C Cable,1,12.99,3.5,Accessories,Consumer
2025-07-20,Ergonomic Keyboard,2,179.98,90.0,Office,Consumer
2025-07-20,Wireless Headphones,1,79.99,40.0,Electronics,Consumer
2025-07-20,Phone Case,1,19.99,5.0,Accessories,Consumer
2025-07-20,Ergonomic Keyboard,1,89.99,45.0,Office,Business
2025-07-20,USB-C Cable,1,12.99,3.5,Accessories,Consumer
2025-07-20,USB-C Cable,1,12.99,3.5,Accessories,Business
2025-07-20,Webcam HD,1,69.99,35.0,Electronics,Consumer
2025-07-20,Laptop Stand,1,49.99,20.0,Office,Education
2025-07-20,Webcam HD,2,139.98,70.0,Electronics,Consumer
2025-07-21,Bluetooth Mouse,1,34.99,15.0,Electronics,Consumer
2025-07-21,Wireless Headphones,1,79.99,40.0,Electronics,Consumer
2025-07-21,Wireless Headphones,1,79.99,40.0,Electronics,Business
2025-07-21,Wireless Headphones,1,79.99,40.0,Electronics,Education
2025-07-21,USB-C Cable,1,12.99,3.5,Accessories,Consumer
2025-07-21,Portable Charger,1,39.99,18.0,Electronics,Consumer
2025-07-21,Bluetooth Mouse,1,34.99,15.0,Electronics,Consumer
2025-07-21,Bluetooth Mouse,1,34.99,15.0,Electronics,Education
2025-07-21,Portable Charger,2,79.98,36.0,Electronics,Consumer
2025-07-21,Phone Case,1,19.99,5.0,Accessories,Consumer
2025-07-21,Ergonomic Keyboard,1,89.99,45.0,Office,Business
2025-07-21,Portable Charger,1,39.99,18.0,Electronics,Consumer
2025-07-21,Portable Charger,1,39.99,18.0,Electronics,Education
2025-07-22,Ergonomic Keyboard,1,89.99,45.0,Office,Business
2025-07-22,Laptop Stand,3,149.97,60.0,Office,Education
2025-07-22,Ergonomic Keyboard,1,89.99,45.0,Office,Consumer
2025-07-22,Portable Charger,2,79.98,36.0,Electronics,Consumer
2025-07-22,Portable Charger,2,79.98,36.0,Electronics,Business
2025-07-22,Bluetooth Mouse,1,34.99,15.0,Electronics,Consumer
2025-07-22,Portable Charger,1,39.99,18.0,Electronics,Consumer
2025-07-22,Wireless Headphones,4,319.96,160.0,Electronics,Business
2025-07-22,Desk Organizer,1,24.99,10.0,Office,Business
2025-07-22,Laptop Stand,1,49.99,20.0,Office,Education
2025-07-22,Bluetooth Mouse,1,34.99,15.0,Electronics,Education
2025-07-22,USB-C Cable,2,25.98,7.0,Accessories,Business
2025-07-22,Wireless Headphones,1,79.99,40.0,Electronics,Business
2025-07-22,Webcam HD,1,69.99,35.0,Electronics,Business
2025-07-22,USB-C Cable,1,12.99,3.5,Accessories,Business
2025-07-23,Wireless Headphones,2,159.98,80.0,Electronics,Consumer
2025-07-23,Laptop Stand,2,99.98,40.0,Office,Consumer
2025-07-23,Bluetooth Mouse,2,69.98,30.0,Electronics,Consumer
2025-07-23,Wireless Headphones,6,479.94,240.0,Electronics,Business
2025-07-23,Webcam HD,2,139.98,70.0,Electronics,Consumer
2025-07-23,Webcam HD,2,139.98,70.0,Electronics,Education
2025-07-23,Laptop Stand,2,99.98,40.0,Office,Consumer
2025-07-23,Bluetooth Mouse,1,34.99,15.0,Electronics,Business
2025-07-23,Wireless Headphones,1,79.99,40.0,Electronics,Consumer
2025-07-23,Portable Charger,1,39.99,18.0,Electronics,Consumer
2025-07-23,Laptop Stand,1,49.99,20.0,Office,Consumer
2025-07-23,Bluetooth Mouse,1,34.99,15.0,Electronics,Consumer
2025-07-23,Bluetooth Mouse,2,69.98,30.0,Electronics,Business
2025-07-23,USB-C Cable,1,12.99,3.5,Accessories,Business
2025-07-23,Desk Organizer,1,24.99,10.0,Office,Consumer
2025-07-23,Phone Case,2,39.98,10.0,Accessories,Consumer
2025-07-23,Desk Organizer,2,49.98,20.0,Office,Business
